TARGET,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_EMPLOYED,DAYS_BIRTH,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,CNT_FAM_MEMBERS
0,169911.66475523342,331666.6115431695,13986.996986828788,-6862,-12225,0.0648060347177174,0.08199110385329789,0.47263404255094643,5
1,163353.4558665498,487113.95052355214,21263.263292158998,-4486,-24448,0.813069459451703,0.1640762053479683,0.08744043447698746,1
1,261517.26972589965,470040.3537008997,21807.541552712417,-5294,-9492,0.3285969163415975,0.39621446014844297,0.9944952565853343,5
0,265528.33351297106,301160.7501632429,9826.427565602458,-2254,-18080,0.5793901820284002,0.4480056865993126,0.0377859258701172,5
0,157193.02772986304,50000.0,13017.940332424267,-14907,-19921,0.10464563978109753,0.37658216617755524,0.9195156147363284,5
1,167746.9858455961,134134.155717704,13508.140104159838,-9356,-15528,0.5055826330507975,0.5027442494044414,0.08019816519507472,4
0,243290.46705744322,414500.1168576734,18554.02553508086,-4269,-14629,0.6318401125291808,0.7335483696717353,0.8592976442140563,1
1,133793.26074122707,67462.28695720693,35877.563658328596,-12887,-15288,0.44986361094419447,0.63570433551897,0.5482417769495761,1
0,167157.2809587988,250996.1117119575,12534.50347501242,-8373,-24006,0.3374818164162481,0.6112854417771726,0.19633486804619205,5
0,207167.42138947477,350772.09205335483,12184.337334913696,-8985,-10197,0.3109550343993315,0.5577788172611614,0.23132838887627927,2
1,279675.09478578065,520435.6043642266,10934.877638849246,-2916,-18849,0.10938375290446278,0.20092826557349308,0.3516083624174461,3
1,151632.11070563673,213747.04553183788,25084.356569937856,-555,-22461,0.11569120972852465,0.6046364911287886,0.7940227239423482,1
1,52609.24303754626,203476.84363753058,19669.267229159184,-13406,-14816,0.4956961629001121,0.1584560818984473,0.14714621509253045,1
1,46672.20259854314,292133.13502567494,12830.187614640332,-11786,-13796,0.13882925388476586,0.7129148600631223,0.2422314242663396,3
1,99246.95466350933,352636.94547151536,17097.635329773344,-3387,-23137,0.22345084197021048,0.45228751621329666,0.6926779306234606,3
1,94946.58254400502,276862.9758905859,13667.91759233839,-12379,-8034,0.1648176724249606,0.5814606152841834,0.6139913224948899,4
1,187631.13931040728,457390.25233287155,22367.13024951396,-7546,-14190,0.8024843613341839,0.8627945905150776,0.42082457162067943,5
0,104889.5877121916,180128.4250457292,41475.01285437068,-835,-7060,0.449717067671902,0.3730972919515906,0.060536228785776136,1
1,143779.60321430367,318024.1400068565,24406.915245537893,-371,-12932,0.552589531399274,0.09976246962267932,0.558498789259774,5
0,138073.129201436,366781.9065370528,19256.09187914109,-752,-24819,0.5829581480673051,0.8913970061319592,0.2292212637277553,5
1,164759.37113216054,239965.0785141215,14680.196100096378,-12984,-21249,0.39638487281676504,0.36498378770761863,0.6121003269598905,3
0,305800.3465218498,425956.490483995,9252.799344921203,-12762,-7494,0.2984310506433274,0.40652352228436983,0.2745159099938269,2
0,252955.80715444134,322343.7811863524,25869.517851224286,-12360,-14927,0.38244550993775617,0.2960234709793972,0.9803309620780761,1
1,201290.3532220803,418326.8569728411,25434.83342693056,-3459,-22801,0.5348231974198256,0.4201694908706278,0.5905939703120465,2
1,163117.89755353297,329115.6162073248,16271.19202647355,-12315,-23664,0.3585772605732699,0.5209707619153708,0.5713055467045615,4
1,165341.3874701583,356460.6857230842,29706.67186354095,-8554,-15335,0.1366159243797309,0.8433112888998225,0.8367683844159722,1
0,226219.71759615597,205141.2364725967,20168.855511080677,-2725,-14306,0.9136869421436272,0.7201602856236312,0.9931647836212527,5
1,246733.5258681832,205384.24422131648,26198.085883161082,-7617,-20566,0.7324062418938101,0.5132809115940699,0.779171992778172,1
1,127390.59951195196,483659.4719893165,22369.57601626409,-892,-21493,0.06626986046523897,0.7638468108090827,0.5938954959857716,4
0,202918.4604491385,395326.56667804986,18582.912960978894,-7520,-14085,0.9056999501394369,0.8477915194290558,0.8635247917627549,5
0,37470.434506957856,146555.22506663974,12360.923109540105,-9304,-17161,0.1704651900184393,0.05814858635524345,0.18120906404430148,2
0,216937.10273364777,327129.51369822473,18835.70726109863,-475,-24334,0.09773018349210427,0.5922288399539734,0.7642293713073771,3
0,260971.93935669487,50000.0,26736.405351158777,-6795,-23963,0.17321689773558313,0.04326815354751079,0.6798988739318119,3
1,177594.50984952998,213908.97544508753,15934.919104804585,-12231,-20711,0.9330339056594967,0.3081155012519088,0.563251080540544,4
1,345322.1596912084,444154.1514929859,23517.931164825426,-5484,-14847,0.22129427740351915,0.7624162691729435,0.8667561607244438,1
0,129500.92420511597,281228.1616933261,11338.112943807973,-3405,-19590,0.7869919257020046,0.7912853309833372,0.7096571382991508,2
1,217395.2332242609,317686.9004499047,26240.466689042863,-2423,-24731,0.6430382252087388,0.8838272110722752,0.7167334605499457,1
1,197134.02026672356,50000.0,22503.530691919696,-14915,-8520,0.5182230783659546,0.49823792346479,0.9097414613091063,2
0,191976.18660452732,241161.95727957724,10383.113929307992,-13375,-12518,0.3655936371634172,0.08413751754970045,0.6994120621350592,4
1,190854.22655962018,350740.8335740819,18207.8838118271,-5571,-14495,0.09293410589470852,0.12678522794134206,0.25542391479630333,3
0,208568.40240075774,369793.48130975093,27451.527274546956,-3872,-20604,0.710654777801551,0.2443094740718087,0.18362521562686362,3
1,267836.699477096,444353.3567001546,9927.739674774208,-5210,-12253,0.39478147482075676,0.37218271109124634,0.5131968259579262,3
1,310218.89890197956,268461.3372339858,11432.398091000525,-9258,-7968,0.5349861401692815,0.526560825605715,0.2349121569345224,1
0,199819.98043966742,275151.6281063776,19444.024361708056,-3695,-12832,0.051761815961741675,0.645937361744546,0.6996358328053092,1
0,265225.28577373066,100182.38558852064,37066.645843457554,-6313,-19677,0.775937829848425,0.16250350644720646,0.8427095847978184,2
1,143858.6442986574,269321.7691240203,14619.375327684016,-1111,-17939,0.6922715128927612,0.18896854974193156,0.2918160087345718,1
0,261276.43621809865,110763.74064033022,23962.191996683963,-9485,-8276,0.5293003699133031,0.17298980915184636,0.9134744109043786,5
1,139040.67809384078,50000.0,22081.08326081081,-3693,-24748,0.49630742790747906,0.7549370520245037,0.7469036273115917,5
1,287252.7948870506,137223.09448341327,15283.84079787565,-12844,-21017,0.3370307615794077,0.30208784780209585,0.9881409117284955,3
1,376851.27019145916,526302.7361705957,21289.066814279002,-4018,-23074,0.34240389540079397,0.16671141566622805,0.1987043140317578,4
1,190233.28896228864,259415.81977300852,16417.32270324036,-4026,-13459,0.06846591864615492,0.4313757216692301,0.4615470669036096,1
0,24596.520735407306,332981.60445350484,17137.561679067905,-11194,-16742,0.6867135937559309,0.24751640144017018,0.6403079163734795,1
0,156154.16534041415,222975.5623202916,6709.824777814934,-14076,-22603,0.044972947623963866,0.3692990665687811,0.7629175518759505,4
0,298550.01074314426,50000.0,19804.510121069427,-108,-8057,0.0014187793368453105,0.824014022189522,0.9119326868876935,4
0,244246.1429620196,440416.9687394561,27192.748052980405,-13853,-15069,0.030981185725411087,0.3338966512743162,0.8912700319290705,5
0,219913.08789400235,50000.0,20459.406198237484,-7974,-20523,0.20344747176706768,0.17485939698566122,0.23612191648762404,2
1,280693.4684763871,216781.09848125122,28724.06208657944,-14984,-7975,0.5701957148097216,0.23245267455199836,0.42247111776710833,3
0,238756.27513987376,291807.7678724908,24642.619567560138,-8739,-12431,0.6811592009315631,0.03435728396859972,0.7183048890549307,4
1,297418.0149960909,334573.4465144783,19523.66954935824,-2686,-22663,0.4207383826161126,0.901129329632614,0.13231424315163076,1
1,273553.89413175883,191029.5593206695,14976.595575945452,-7472,-10122,0.4086386990552422,0.6969676809816546,0.9593652384366985,5
1,321736.0362189567,50000.0,16109.890277108767,-11404,-23938,0.5767858883648012,0.46336099439001366,0.7469527663309546,2
1,228703.68671250035,179836.00614968425,8235.91620850303,-9090,-8678,0.5968275679658468,0.5608648221490262,0.8288418838367411,1
0,272420.7521195164,187686.30185705062,17863.36887921339,-13615,-17918,0.8449975836631244,0.2540909810456713,0.9074443854508608,4
1,175429.83415313717,184035.97572673796,21167.99006851323,-6096,-19718,0.8190881651328065,0.40368806122401635,0.1779518666378278,5
0,151883.1350752795,445508.78853114054,33723.36878239387,-14939,-24038,0.8235262045752879,0.319835617543496,0.4221309867925649,3
0,336541.41123351787,117959.58327912865,24226.56258623101,-9756,-8237,0.8441727977402321,0.8245433887925177,0.6516697814236887,1
1,217296.37410581505,345146.89116572385,13081.168158896184,-14090,-14927,0.8798304870215985,0.7434253663436717,0.8224611236529222,1
0,264390.4452689903,323744.5555826874,8485.053795849552,-11401,-14057,0.5553167879399726,0.2838804905572204,0.7380044085796028,2
0,209899.2011529112,444068.26162075053,18347.58330236342,-13989,-9694,0.5951671639290778,0.76224782791131,0.12153109997286082,3
0,153078.74792640287,280030.2192394603,26494.115574621996,-1081,-15849,0.7272259972085389,0.09393361589960247,0.6456719566101466,4
1,200878.63140659212,418669.6450796338,18235.069306444897,-3420,-19783,0.19900755561789074,0.2025695833366442,0.29405368955852296,4
0,314879.5214214171,274166.9792858853,24335.873400044766,-1083,-10989,0.36046103007031494,0.10637929094645693,0.4064978094507574,4
0,244419.20594235393,365158.87898772006,18550.996405982492,-4754,-15457,0.9126529806192737,0.23824632691182812,0.9942298681414092,2
0,63082.14722156327,74558.83691291392,25736.003477724793,-7557,-20704,0.5227624306198083,0.22619387496464427,0.1570558114107209,1
1,182780.44347390762,50000.0,7221.93581835471,-12390,-9799,0.05178761792172304,0.9005545415569337,0.10438053423171256,5
0,342583.503416377,356632.028034878,32833.456961168806,-568,-10374,0.40555978458723485,0.3273895382839249,0.40914412701427116,1
0,182896.25105200353,364677.4689058844,11100.132414210315,-1238,-20549,0.16078920323744827,0.3552179736191422,0.8641280514831386,3
0,55961.70466126554,371325.34997278237,26349.858637838217,-8765,-13301,0.3562868618704754,0.0997506252420588,0.16220827211428612,2
1,351443.9108338035,221260.1227867981,17822.52804264836,-11616,-8424,0.5449759602950425,0.06598244628182415,0.07995282495521594,4
1,254591.4007850234,523458.33783155587,19073.376797064793,-9190,-10612,0.5051364017567757,0.21938755328115078,0.4188489342674864,2
1,194398.97129497596,231018.3276394467,18071.184752238813,-9089,-21423,0.49046903017469945,0.13454613852323472,0.6322980741966671,1
0,170286.5811134345,363131.85295085545,22044.836680411947,-1247,-9598,0.018338947447570142,0.3446099766476196,0.15469250977940674,2
0,286588.1543833389,389195.4337506118,23660.19634624716,-13998,-23986,0.4451048783314987,0.1860443629605939,0.8045888490247038,1
1,156641.32798190461,557811.0239623666,28466.892094584546,-5507,-13888,0.0289637672930817,0.17817132596784235,0.8459158898665003,1
1,291860.51396127907,252445.55703152495,31263.59106077903,-3472,-15795,0.4048607757558965,0.6475366827977042,0.5225959258624907,3
1,243375.62285794047,202021.06406562706,22654.572374213618,-3563,-24339,0.6469999109014543,0.942105932371825,0.030463857454404608,5
0,219574.554038988,75278.19233770153,33709.39391334643,-12102,-11932,0.1259044582066886,0.012481678219650738,0.5161022805203865,2
0,211641.18442684764,532855.050999371,20743.780342579823,-8809,-19641,0.916772740724213,0.705556079909102,0.21418224705505484,4
1,186002.55706286576,363211.636057281,28619.522898023395,-9870,-9660,0.6305114899593964,0.6591976722018307,0.44609700837238564,3
1,283651.2096167413,367959.1658841453,23429.75738324918,-8895,-9196,0.21759863559089143,0.5850544543209474,0.7597372283665177,5
0,130772.57343185326,767505.636198588,15606.362948597074,-13694,-14372,0.3940876677803459,0.6922981298108345,0.05441886050368194,3
1,70245.98985358326,348756.7111779449,21449.87323503875,-13751,-13715,0.09690726330997268,0.5086994941913139,0.00015202940505454343,1
1,249155.20983139798,104651.78923499517,24025.375020073,-14638,-24063,0.02206328766552912,0.9269177334214961,0.1334490835133928,3
0,250499.06624537183,270614.46375105355,19742.41494877914,-499,-8979,0.9158614802431244,0.15822489280015994,0.04536932372943825,1
